City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,gurupi,-11.7292,-49.0686,36.79000000000002,30,100,2.23,BR,1699377474
247,vokhtoga,58.8147,41.0461,6.330000000000041,83,100,4.09,RU,1699377475
248,nanakuli,21.3906,-158.1547,25.340000000000032,83,40,5.14,US,1699377475
249,port saint john's,-31.6229,29.5448,19.370000000000005,80,100,5.83,ZA,1699377475
250,bubaque,11.2833,-15.8333,30.189999999999998,54,6,2.6,GW,1699377475
251,lamu,-2.2717,40.902,25.120000000000005,85,61,5.41,KE,1699377475
252,northam,51.0333,-4.2167,10.140000000000043,86,5,5.07,GB,1699377476
253,pul-e khumri,35.9446,68.7151,18.170000000000016,30,99,1.6,AF,1699377476
254,purpe,64.4803,76.6897,-0.7599999999999909,95,100,7.14,RU,1699377476
255,puerto deseado,-47.7503,-65.8938,13.700000000000045,51,90,6.64,AR,1699377476
256,dhuusamarreeb,5.535,46.3861,27.83000000000004,55,57,4.17,SO,1699377476
257,swainsboro,32.5974,-82.3337,25.939999999999998,38,0,4.63,US,1699377476
258,antsohihy,-14.8796,47.9875,27.610000000000014,69,45,1.11,MG,1699377477
259,najafabad,32.6344,51.3668,10.300000000000011,26,1,2.24,IR,1699377477
260,pacasmayo,-7.4006,-79.5714,22.08000000000004,71,19,7.46,PE,1699377477
261,valparaiso,-33.0393,-71.6273,25.80000000000001,53,0,7.2,CL,1699377379
262,cabo san lucas,22.8909,-109.9124,30.980000000000018,61,75,2.06,MX,1699377477
263,pangody,65.85,74.4859,0.5800000000000409,98,100,4.18,RU,1699377477
264,noida,28.58,77.33,23.160000000000025,23,0,1.51,IN,1699377477
265,ouddorp,51.8117,3.9347,10.57000000000005,84,25,10.34,NL,1699377478
266,korsakov,46.6328,142.7813,1.910000000000025,96,100,7.06,RU,1699377478
267,ljusdal,61.8288,16.0913,1.3600000000000136,97,96,0.86,SE,1699377307
268,katsuren-haebaru,26.3369,127.8719,21.010000000000048,88,0,1.54,JP,1699377478
269,birjand,32.8663,59.2211,11.260000000000048,71,20,2.06,IR,1699377478
270,nar'yan-mar,67.6713,53.087,1.7300000000000182,100,100,8.94,RU,1699377478
271,taroa,8.7058,171.2275,27.920000000000016,79,100,8.94,MH,1699377479
272,chonchi,-42.6128,-73.8092,14.510000000000048,65,85,3.64,CL,1699377479
273,baker city,44.7749,-117.8344,6.840000000000032,67,100,0.0,US,1699377479
274,gainesville,29.6516,-82.3248,27.82000000000005,35,0,0.45,US,1699377210
275,kiama,-34.6833,150.8667,17.78000000000003,84,76,2.24,AU,1699377479
276,al ghayzah,16.2079,52.176,28.150000000000034,60,25,2.38,YE,1699377479
277,shimokizukuri,40.8061,140.3861,9.730000000000018,74,95,7.99,JP,1699377479
278,olyokminsk,60.3736,120.4264,-17.379999999999967,97,100,1.46,RU,1699377480
279,sangmelima,2.9333,11.9833,22.180000000000007,95,98,0.91,CM,1699377480
280,jieshi,22.8134,115.8257,22.689999999999998,77,45,8.59,CN,1699377480
281,dellys,36.9172,3.9131,17.75,55,77,1.92,DZ,1699377480
282,atbara,17.7022,33.9864,32.83000000000004,22,10,4.61,SD,1699377480
283,holdrege,40.4403,-99.3698,12.600000000000023,100,100,5.66,US,1699377480
